ID	家系	体重	性别
900219001942254	75	653	雌性
900219001547403	62	631	雌性
900219001547669	57	712	雌性
900219001548196	73	682	雌性
900219001548246	58	666	雌性
900219001941599	75	621	雌性
900202499109210	30	676	雌性
900202499109732	36	688	雌性
900219001943778	14	567	雌性
900202499109576	36	759	雌性
900219001547672	62	686	雌性
900202499110728	46	787	雌性
900202499109520	32	675	雌性
900219001547497	62	685	雌性
900202499109517	34	683	雌性
900219001547931	12	505	雌性
900219001943892	6	646	雌性
900202499110253	37	735	雌性
900219001943783	14	607	雌性
900219001943794	14	620	雌性
900202499110894	46	780	雌性
900219001547983	73	717	雌性
900219001944051	3	780	雌性
900202499110533	44	745	雌性
900202397201946	126	622	雌性
900219001943401	14	629	雌性
900219001943374	12	582	雌性
900202499110453	42	804	雌性
900219001943476	7	433	雌性
900219001942097	86	606	雌性
900202499110198	38	627	雌性
900219001547508	65	591	雌性
900202499109208	21	656	雌性
900219001547507	68	681	雌性
900219001548174	64	630	雌性
900219001941503	93	587	雌性
900219001943714	6	628	雌性
900219001942250	92	787	雌性
900202499109763	33	614	雌性
900202499110057	43	745	雌性
900202302003175	95	663	雌性
900219001943367	3	761	雌性
900219001942280	87	532	雌性
900219001547830	60	603	雌性
900219001941380	75	617	雌性
900219001943642	16	591	雌性
900219001547584	68	670	雌性
900202499109483	21	684	雌性
900219001548235	60	620	雌性
900202499109087	27	567	雌性
900219001943358	12	571	雌性
900219001547528	67	643	雌性
900219001547923	68	690	雌性
900219001943432	13	638	雌性
900219001943387	1	657	雌性
900219001941432	86	659	雌性
900219001941767	73	677	雌性
900219001547361	68	752	雌性
900219001943514	7	471	雌性
900202499110520	46	760	雌性
900202499110993	40	794	雌性
900219001201003	93	591	雌性
900219001547351	68	666	雌性
900202499109154	18	658	雌性
900219001941440	83	610	雌性
900219001547354	62	614	雌性
900219001201425	95	672	雌性
900202499110283	51	642	雌性
900219001943817	8	683	雌性
900219001547984	57	661	雌性
900219001941933	76	675	雌性
900219001943452	5	716	雌性
900219001201542	102	412	雌性
900202499110870	51	712	雌性
900202397201903	126	582	雌性
900202302003502	95	678	雌性
900219001547840	68	676	雌性
900219001943835	15	636	雌性
900202499110023	50	623	雌性
900202499109142	27	572	雌性
900219001941467	87	661	雌性
900219001943772	5	685	雌性
900219001942009	86	688	雌性
900219001547651	57	680	雌性
900219001547462	68	736	雌性
900202303000446	35	623	雌性
900202302005234	2	734	雌性
900202302005222	7	459	雌性
900202302005007	21	668	雌性
900202302005114	2	684	雌性
900202302005721	3	735	雌性
900202303000253	32	715	雌性
900202302005458	13	771	雌性
900202302005216	7	470	雌性
156020226010369	53	675	雌性
900202302007266	94	714	雌性
900202302004050	70	585	雌性
900202302003922	53	683	雌性
900202302005971	12	515	雌性
900202302004842	67	644	雌性
900202303000931	36	755	雌性
900202302004995	70	612	雌性
900202303000351	21	646	雌性
900202303000176	30	694	雌性
900202303000921	32	670	雌性
900202302004771	70	665	雌性
900219001204631	45	698	雌性
900202302005121	12	558	雌性
900202302004450	58	615	雌性
900202302005378	7	532	雌性
900202499109940	53	698	雌性
900202303000604	35	724	雌性
900202397201923	86	615	雌性
900202302007368	95	818	雌性
900202302005548	12	569	雌性
900202302004958	73	678	雌性
900202302005220	1	609	雌性
900202302005272	21	636	雌性
900202303000970	34	634	雌性
900202302005739	7	526	雌性
900202302005355	1	643	雌性
900202302007223	102	390	雌性
900202303000859	36	821	雌性
900202302005068	13	671	雌性
900202303000698	34	650	雌性
900202303000895	35	696	雌性
900202302004670	60	600	雌性
900202302005693	7	415	雌性
900202303000797	32	712	雌性
156020226010047	50	693	雌性
900219001208925	45	694	雌性
900202303000418	30	670	雌性
900202303000215	27	622	雌性
900202302004980	67	660	雌性
900202303000747	32	745	雌性
900202302004443	60	597	雌性
900219001204634	41	646	雌性
900202302007100	93	707	雌性
900202302006596	126	584	雌性
900202302005137	7	491	雌性
900202302004793	60	680	雌性
900202302007345	102	562	雌性
900219001206470	44	709	雌性
900202302005903	12	517	雌性
900202302004694	70	607	雌性
